	premise	hypothesis	insertion_pair	X_grammar	Y_grammar	insertion_rel	source	context_monotonicity	context	gold_label	model_predictions	composite
9	tom felt that there was no man .	tom felt that there was no person .	 man,  person	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
10	tom felt that there was no meat .	tom felt that there was no pork .	 meat,  pork	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
11	tom felt that there was no sugar .	tom felt that there was no brown sugar .	 sugar,  brown sugar	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
16	tom felt that there was no tree .	tom felt that there was no plant .	 tree,  plant	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
17	tom felt that there was no pie .	tom felt that there was no apple pie .	 pie,  apple pie	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
18	tom felt that there was no person .	tom felt that there was no child .	 person,  child	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
19	tom felt that there was no building .	tom felt that there was no palace .	 building,  palace	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	2	1
20	tom felt that there was no weather .	tom felt that there was no snow .	 weather,  snow	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
21	tom felt that there was no tree .	tom felt that there was no oak .	 tree,  oak	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
22	tom felt that there was no building .	tom felt that there was no club .	 building,  club	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
23	tom felt that there was no vehicle .	tom felt that there was no building .	 vehicle,  building	s	s	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	2	5
24	tom felt that there was no building .	tom felt that there was no library .	 building,  library	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	2	1
27	tom felt that there was no woman .	tom felt that there was no wife .	 woman,  wife	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
28	tom felt that there was no weather .	tom felt that there was no rain .	 weather,  rain	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
29	tom felt that there was no food .	tom felt that there was no pasta .	 food,  pasta	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
31	tom felt that there was no person .	tom felt that there was no girl .	 person,  girl	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
32	tom felt that there was no hound .	tom felt that there was no dog .	 hound,  dog	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
33	tom felt that there was no vegetable .	tom felt that there was no tomato .	 vegetable,  tomato	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
34	tom felt that there was no tree .	tom felt that there was no cherry tree .	 tree,  cherry tree	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
35	tom felt that there was no music .	tom felt that there was no swing .	 music,  swing	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
37	tom felt that there was no adult .	tom felt that there was no woman .	 adult,  woman	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
38	tom felt that there was no vehicle .	tom felt that there was no creature .	 vehicle,  creature	s	s	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	2	5
39	tom felt that there was no fruit .	tom felt that there was no meat .	 fruit,  meat	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	2	5
40	tom felt that there was no weather .	tom felt that there was no sleet .	 weather,  sleet	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
42	tom felt that there was no food .	tom felt that there was no meat .	 food,  meat	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
43	tom felt that there was no building .	tom felt that there was no court .	 building,  court	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	2	1
44	tom felt that there was no weather .	tom felt that there was no pasta .	 weather,  pasta	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	2	5
0	you know that some fruit must be taken when grandma reacts with the sad emoji .	you know that some food must be taken when grandma reacts with the sad emoji .	 fruit,  food	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
1	you know that some oysters must be taken when grandma reacts with the sad emoji .	you know that some seafood must be taken when grandma reacts with the sad emoji .	 oysters,  seafood	p	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
3	you know that some rap must be taken when grandma reacts with the sad emoji .	you know that some food must be taken when grandma reacts with the sad emoji .	 rap,  food	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
7	you know that some rap must be taken when grandma reacts with the sad emoji .	you know that some music must be taken when grandma reacts with the sad emoji .	 rap,  music	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
10	you know that some pork must be taken when grandma reacts with the sad emoji .	you know that some meat must be taken when grandma reacts with the sad emoji .	 pork,  meat	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
11	you know that some brown sugar must be taken when grandma reacts with the sad emoji .	you know that some sugar must be taken when grandma reacts with the sad emoji .	 brown sugar,  sugar	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
12	you know that some mittens must be taken when grandma reacts with the sad emoji .	you know that some food must be taken when grandma reacts with the sad emoji .	 mittens,  food	p	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
13	you know that some peaches must be taken when grandma reacts with the sad emoji .	you know that some clothes must be taken when grandma reacts with the sad emoji .	 peaches,  clothes	p	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
14	you know that some women must be taken when grandma reacts with the sad emoji .	you know that some people must be taken when grandma reacts with the sad emoji .	 women,  people	p	p	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
15	you know that some hats must be taken when grandma reacts with the sad emoji .	you know that some food must be taken when grandma reacts with the sad emoji .	 hats,  food	p	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
17	you know that some apple pie must be taken when grandma reacts with the sad emoji .	you know that some pie must be taken when grandma reacts with the sad emoji .	 apple pie,  pie	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
20	you know that some snow must be taken when grandma reacts with the sad emoji .	you know that some weather must be taken when grandma reacts with the sad emoji .	 snow,  weather	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
25	you know that some files must be taken when grandma reacts with the sad emoji .	you know that some things must be taken when grandma reacts with the sad emoji .	 files,  things	p	p	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
26	you know that some shoes must be taken when grandma reacts with the sad emoji .	you know that some clothes must be taken when grandma reacts with the sad emoji .	 shoes,  clothes	p	p	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
28	you know that some rain must be taken when grandma reacts with the sad emoji .	you know that some weather must be taken when grandma reacts with the sad emoji .	 rain,  weather	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
29	you know that some pasta must be taken when grandma reacts with the sad emoji .	you know that some food must be taken when grandma reacts with the sad emoji .	 pasta,  food	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
30	you know that some apples must be taken when grandma reacts with the sad emoji .	you know that some fruit must be taken when grandma reacts with the sad emoji .	 apples,  fruit	p	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
35	you know that some swing must be taken when grandma reacts with the sad emoji .	you know that some music must be taken when grandma reacts with the sad emoji .	 swing,  music	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
36	you know that some first - year students must be taken when grandma reacts with the sad emoji .	you know that some students must be taken when grandma reacts with the sad emoji .	 first-year students,  students	p	p	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
39	you know that some meat must be taken when grandma reacts with the sad emoji .	you know that some fruit must be taken when grandma reacts with the sad emoji .	 meat,  fruit	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
40	you know that some sleet must be taken when grandma reacts with the sad emoji .	you know that some weather must be taken when grandma reacts with the sad emoji .	 sleet,  weather	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
41	you know that some sausages must be taken when grandma reacts with the sad emoji .	you know that some fruit must be taken when grandma reacts with the sad emoji .	 sausages,  fruit	p	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
42	you know that some meat must be taken when grandma reacts with the sad emoji .	you know that some food must be taken when grandma reacts with the sad emoji .	 meat,  food	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	2	0
44	you know that some pasta must be taken when grandma reacts with the sad emoji .	you know that some weather must be taken when grandma reacts with the sad emoji .	 pasta,  weather	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
0	you know that some food must be taken when grandma reacts with the sad emoji .	you know that some fruit must be taken when grandma reacts with the sad emoji .	 food,  fruit	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
1	you know that some seafood must be taken when grandma reacts with the sad emoji .	you know that some oysters must be taken when grandma reacts with the sad emoji .	 seafood,  oysters	m	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
3	you know that some food must be taken when grandma reacts with the sad emoji .	you know that some rap must be taken when grandma reacts with the sad emoji .	 food,  rap	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
7	you know that some music must be taken when grandma reacts with the sad emoji .	you know that some rap must be taken when grandma reacts with the sad emoji .	 music,  rap	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
10	you know that some meat must be taken when grandma reacts with the sad emoji .	you know that some pork must be taken when grandma reacts with the sad emoji .	 meat,  pork	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
11	you know that some sugar must be taken when grandma reacts with the sad emoji .	you know that some brown sugar must be taken when grandma reacts with the sad emoji .	 sugar,  brown sugar	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
12	you know that some food must be taken when grandma reacts with the sad emoji .	you know that some mittens must be taken when grandma reacts with the sad emoji .	 food,  mittens	m	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
13	you know that some clothes must be taken when grandma reacts with the sad emoji .	you know that some peaches must be taken when grandma reacts with the sad emoji .	 clothes,  peaches	p	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
14	you know that some people must be taken when grandma reacts with the sad emoji .	you know that some women must be taken when grandma reacts with the sad emoji .	 people,  women	p	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	1	2
15	you know that some food must be taken when grandma reacts with the sad emoji .	you know that some hats must be taken when grandma reacts with the sad emoji .	 food,  hats	m	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
17	you know that some pie must be taken when grandma reacts with the sad emoji .	you know that some apple pie must be taken when grandma reacts with the sad emoji .	 pie,  apple pie	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
20	you know that some weather must be taken when grandma reacts with the sad emoji .	you know that some snow must be taken when grandma reacts with the sad emoji .	 weather,  snow	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
25	you know that some things must be taken when grandma reacts with the sad emoji .	you know that some files must be taken when grandma reacts with the sad emoji .	 things,  files	p	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
26	you know that some clothes must be taken when grandma reacts with the sad emoji .	you know that some shoes must be taken when grandma reacts with the sad emoji .	 clothes,  shoes	p	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
28	you know that some weather must be taken when grandma reacts with the sad emoji .	you know that some rain must be taken when grandma reacts with the sad emoji .	 weather,  rain	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
29	you know that some food must be taken when grandma reacts with the sad emoji .	you know that some pasta must be taken when grandma reacts with the sad emoji .	 food,  pasta	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
30	you know that some fruit must be taken when grandma reacts with the sad emoji .	you know that some apples must be taken when grandma reacts with the sad emoji .	 fruit,  apples	m	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
35	you know that some music must be taken when grandma reacts with the sad emoji .	you know that some swing must be taken when grandma reacts with the sad emoji .	 music,  swing	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
36	you know that some students must be taken when grandma reacts with the sad emoji .	you know that some first - year students must be taken when grandma reacts with the sad emoji .	 students,  first-year students	p	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
39	you know that some fruit must be taken when grandma reacts with the sad emoji .	you know that some meat must be taken when grandma reacts with the sad emoji .	 fruit,  meat	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
40	you know that some weather must be taken when grandma reacts with the sad emoji .	you know that some sleet must be taken when grandma reacts with the sad emoji .	 weather,  sleet	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
41	you know that some fruit must be taken when grandma reacts with the sad emoji .	you know that some sausages must be taken when grandma reacts with the sad emoji .	 fruit,  sausages	m	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
42	you know that some food must be taken when grandma reacts with the sad emoji .	you know that some meat must be taken when grandma reacts with the sad emoji .	 food,  meat	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	2
44	you know that some weather must be taken when grandma reacts with the sad emoji .	you know that some pasta must be taken when grandma reacts with the sad emoji .	 weather,  pasta	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	2	4
2	i ' m expecting a hospital .	i ' m expecting a building .	 hospital,  building	s	s	leq	MED	up	I'm expecting a x.	entailment	2	0
