	premise	hypothesis	insertion_pair	X_grammar	Y_grammar	insertion_rel	source	context_monotonicity	context	gold_label	model_predictions	composite
28	I can not do without rain in my coffee.	I can not do without weather in my coffee.	 rain,  weather	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
29	I can not do without pasta in my coffee.	I can not do without food in my coffee.	 pasta,  food	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
30	I can not do without apples in my coffee.	I can not do without fruit in my coffee.	 apples,  fruit	p	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
35	I can not do without swing in my coffee.	I can not do without music in my coffee.	 swing,  music	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
36	I can not do without first-year students in my coffee.	I can not do without students in my coffee.	 first-year students,  students	p	p	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
39	I can not do without meat in my coffee.	I can not do without fruit in my coffee.	 meat,  fruit	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	1	4
40	I can not do without sleet in my coffee.	I can not do without weather in my coffee.	 sleet,  weather	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
41	I can not do without sausages in my coffee.	I can not do without fruit in my coffee.	 sausages,  fruit	p	m	none	MED	up	I can not do without x in my coffee.	non-entailment	0	4
42	I can not do without meat in my coffee.	I can not do without food in my coffee.	 meat,  food	m	m	leq	MED	up	I can not do without x in my coffee.	entailment	0	0
44	I can not do without pasta in my coffee.	I can not do without weather in my coffee.	 pasta,  weather	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	0	4
0	I can not do without food in my coffee.	I can not do without fruit in my coffee.	 food,  fruit	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
1	I can not do without seafood in my coffee.	I can not do without oysters in my coffee.	 seafood,  oysters	m	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
3	I can not do without food in my coffee.	I can not do without rap in my coffee.	 food,  rap	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	1	4
7	I can not do without music in my coffee.	I can not do without rap in my coffee.	 music,  rap	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
10	I can not do without meat in my coffee.	I can not do without pork in my coffee.	 meat,  pork	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
11	I can not do without sugar in my coffee.	I can not do without brown sugar in my coffee.	 sugar,  brown sugar	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
12	I can not do without food in my coffee.	I can not do without mittens in my coffee.	 food,  mittens	m	p	none	MED	up	I can not do without x in my coffee.	non-entailment	1	4
13	I can not do without clothes in my coffee.	I can not do without peaches in my coffee.	 clothes,  peaches	p	p	none	MED	up	I can not do without x in my coffee.	non-entailment	1	4
14	I can not do without people in my coffee.	I can not do without women in my coffee.	 people,  women	p	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
15	I can not do without food in my coffee.	I can not do without hats in my coffee.	 food,  hats	m	p	none	MED	up	I can not do without x in my coffee.	non-entailment	1	4
17	I can not do without pie in my coffee.	I can not do without apple pie in my coffee.	 pie,  apple pie	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
20	I can not do without weather in my coffee.	I can not do without snow in my coffee.	 weather,  snow	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
25	I can not do without things in my coffee.	I can not do without files in my coffee.	 things,  files	p	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
26	I can not do without clothes in my coffee.	I can not do without shoes in my coffee.	 clothes,  shoes	p	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
28	I can not do without weather in my coffee.	I can not do without rain in my coffee.	 weather,  rain	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
29	I can not do without food in my coffee.	I can not do without pasta in my coffee.	 food,  pasta	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
30	I can not do without fruit in my coffee.	I can not do without apples in my coffee.	 fruit,  apples	m	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
35	I can not do without music in my coffee.	I can not do without swing in my coffee.	 music,  swing	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
36	I can not do without students in my coffee.	I can not do without first-year students in my coffee.	 students,  first-year students	p	p	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
39	I can not do without fruit in my coffee.	I can not do without meat in my coffee.	 fruit,  meat	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	0	4
40	I can not do without weather in my coffee.	I can not do without sleet in my coffee.	 weather,  sleet	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
41	I can not do without fruit in my coffee.	I can not do without sausages in my coffee.	 fruit,  sausages	m	p	none	MED	up	I can not do without x in my coffee.	non-entailment	1	4
42	I can not do without food in my coffee.	I can not do without meat in my coffee.	 food,  meat	m	m	geq	MED	up	I can not do without x in my coffee.	non-entailment	1	2
44	I can not do without weather in my coffee.	I can not do without pasta in my coffee.	 weather,  pasta	m	m	none	MED	up	I can not do without x in my coffee.	non-entailment	1	4
0	Tom felt that there was no fruit .	Tom felt that there was no food .	 fruit,  food	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
2	Tom felt that there was no hospital .	Tom felt that there was no building .	 hospital,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
3	Tom felt that there was no rap .	Tom felt that there was no food .	 rap,  food	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	5
4	Tom felt that there was no hound .	Tom felt that there was no dog .	 hound,  dog	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
5	Tom felt that there was no potato .	Tom felt that there was no vegetable .	 potato,  vegetable	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
6	Tom felt that there was no watermelon .	Tom felt that there was no fruit .	 watermelon,  fruit	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
7	Tom felt that there was no rap .	Tom felt that there was no music .	 rap,  music	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
8	Tom felt that there was no lass .	Tom felt that there was no woman .	 lass,  woman	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
9	Tom felt that there was no person .	Tom felt that there was no man .	 person,  man	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
10	Tom felt that there was no pork .	Tom felt that there was no meat .	 pork,  meat	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
11	Tom felt that there was no brown sugar .	Tom felt that there was no sugar .	 brown sugar,  sugar	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
16	Tom felt that there was no plant .	Tom felt that there was no tree .	 plant,  tree	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
17	Tom felt that there was no apple pie .	Tom felt that there was no pie .	 apple pie,  pie	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
18	Tom felt that there was no child .	Tom felt that there was no person .	 child,  person	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
19	Tom felt that there was no palace .	Tom felt that there was no building .	 palace,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
20	Tom felt that there was no snow .	Tom felt that there was no weather .	 snow,  weather	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
21	Tom felt that there was no oak .	Tom felt that there was no tree .	 oak,  tree	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
22	Tom felt that there was no club .	Tom felt that there was no building .	 club,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
23	Tom felt that there was no building .	Tom felt that there was no vehicle .	 building,  vehicle	s	s	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	5
24	Tom felt that there was no library .	Tom felt that there was no building .	 library,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
27	Tom felt that there was no wife .	Tom felt that there was no woman .	 wife,  woman	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
28	Tom felt that there was no rain .	Tom felt that there was no weather .	 rain,  weather	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
29	Tom felt that there was no pasta .	Tom felt that there was no food .	 pasta,  food	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
31	Tom felt that there was no girl .	Tom felt that there was no person .	 girl,  person	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
32	Tom felt that there was no dog .	Tom felt that there was no hound .	 dog,  hound	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	3
33	Tom felt that there was no tomato .	Tom felt that there was no vegetable .	 tomato,  vegetable	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
34	Tom felt that there was no cherry tree .	Tom felt that there was no tree .	 cherry tree,  tree	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
35	Tom felt that there was no swing .	Tom felt that there was no music .	 swing,  music	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
37	Tom felt that there was no woman .	Tom felt that there was no adult .	 woman,  adult	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
38	Tom felt that there was no creature .	Tom felt that there was no vehicle .	 creature,  vehicle	s	s	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	5
39	Tom felt that there was no meat .	Tom felt that there was no fruit .	 meat,  fruit	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	5
40	Tom felt that there was no sleet .	Tom felt that there was no weather .	 sleet,  weather	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
42	Tom felt that there was no meat .	Tom felt that there was no food .	 meat,  food	m	m	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
43	Tom felt that there was no court .	Tom felt that there was no building .	 court,  building	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
44	Tom felt that there was no pasta .	Tom felt that there was no weather .	 pasta,  weather	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	5
0	Tom felt that there was no food .	Tom felt that there was no fruit .	 food,  fruit	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
2	Tom felt that there was no building .	Tom felt that there was no hospital .	 building,  hospital	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
3	Tom felt that there was no food .	Tom felt that there was no rap .	 food,  rap	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	5
4	Tom felt that there was no dog .	Tom felt that there was no hound .	 dog,  hound	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
5	Tom felt that there was no vegetable .	Tom felt that there was no potato .	 vegetable,  potato	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
6	Tom felt that there was no fruit .	Tom felt that there was no watermelon .	 fruit,  watermelon	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
7	Tom felt that there was no music .	Tom felt that there was no rap .	 music,  rap	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
8	Tom felt that there was no woman .	Tom felt that there was no lass .	 woman,  lass	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
9	Tom felt that there was no man .	Tom felt that there was no person .	 man,  person	s	s	leq	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	3
10	Tom felt that there was no meat .	Tom felt that there was no pork .	 meat,  pork	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
11	Tom felt that there was no sugar .	Tom felt that there was no brown sugar .	 sugar,  brown sugar	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
16	Tom felt that there was no tree .	Tom felt that there was no plant .	 tree,  plant	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	0	1
17	Tom felt that there was no pie .	Tom felt that there was no apple pie .	 pie,  apple pie	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
18	Tom felt that there was no person .	Tom felt that there was no child .	 person,  child	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
19	Tom felt that there was no building .	Tom felt that there was no palace .	 building,  palace	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
20	Tom felt that there was no weather .	Tom felt that there was no snow .	 weather,  snow	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
21	Tom felt that there was no tree .	Tom felt that there was no oak .	 tree,  oak	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
22	Tom felt that there was no building .	Tom felt that there was no club .	 building,  club	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
23	Tom felt that there was no vehicle .	Tom felt that there was no building .	 vehicle,  building	s	s	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	5
24	Tom felt that there was no building .	Tom felt that there was no library .	 building,  library	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
27	Tom felt that there was no woman .	Tom felt that there was no wife .	 woman,  wife	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
28	Tom felt that there was no weather .	Tom felt that there was no rain .	 weather,  rain	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
29	Tom felt that there was no food .	Tom felt that there was no pasta .	 food,  pasta	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
31	Tom felt that there was no person .	Tom felt that there was no girl .	 person,  girl	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
32	Tom felt that there was no hound .	Tom felt that there was no dog .	 hound,  dog	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	0	1
33	Tom felt that there was no vegetable .	Tom felt that there was no tomato .	 vegetable,  tomato	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
34	Tom felt that there was no tree .	Tom felt that there was no cherry tree .	 tree,  cherry tree	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
35	Tom felt that there was no music .	Tom felt that there was no swing .	 music,  swing	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
37	Tom felt that there was no adult .	Tom felt that there was no woman .	 adult,  woman	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
38	Tom felt that there was no vehicle .	Tom felt that there was no creature .	 vehicle,  creature	s	s	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	5
39	Tom felt that there was no fruit .	Tom felt that there was no meat .	 fruit,  meat	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	0	5
40	Tom felt that there was no weather .	Tom felt that there was no sleet .	 weather,  sleet	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
42	Tom felt that there was no food .	Tom felt that there was no meat .	 food,  meat	m	m	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
43	Tom felt that there was no building .	Tom felt that there was no court .	 building,  court	s	s	geq	help-test-contexts	down	Tom felt that there was no x .	entailment	1	1
44	Tom felt that there was no weather .	Tom felt that there was no pasta .	 weather,  pasta	m	m	none	help-test-contexts	down	Tom felt that there was no x .	non-entailment	1	5
0	You know that some fruit must be taken when grandma reacts with the sad emoji.	You know that some food must be taken when grandma reacts with the sad emoji.	 fruit,  food	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
1	You know that some oysters must be taken when grandma reacts with the sad emoji.	You know that some seafood must be taken when grandma reacts with the sad emoji.	 oysters,  seafood	p	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
3	You know that some rap must be taken when grandma reacts with the sad emoji.	You know that some food must be taken when grandma reacts with the sad emoji.	 rap,  food	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	1	4
7	You know that some rap must be taken when grandma reacts with the sad emoji.	You know that some music must be taken when grandma reacts with the sad emoji.	 rap,  music	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
10	You know that some pork must be taken when grandma reacts with the sad emoji.	You know that some meat must be taken when grandma reacts with the sad emoji.	 pork,  meat	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
11	You know that some brown sugar must be taken when grandma reacts with the sad emoji.	You know that some sugar must be taken when grandma reacts with the sad emoji.	 brown sugar,  sugar	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
12	You know that some mittens must be taken when grandma reacts with the sad emoji.	You know that some food must be taken when grandma reacts with the sad emoji.	 mittens,  food	p	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	1	4
13	You know that some peaches must be taken when grandma reacts with the sad emoji.	You know that some clothes must be taken when grandma reacts with the sad emoji.	 peaches,  clothes	p	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	1	4
14	You know that some women must be taken when grandma reacts with the sad emoji.	You know that some people must be taken when grandma reacts with the sad emoji.	 women,  people	p	p	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
15	You know that some hats must be taken when grandma reacts with the sad emoji.	You know that some food must be taken when grandma reacts with the sad emoji.	 hats,  food	p	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	1	4
17	You know that some apple pie must be taken when grandma reacts with the sad emoji.	You know that some pie must be taken when grandma reacts with the sad emoji.	 apple pie,  pie	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
20	You know that some snow must be taken when grandma reacts with the sad emoji.	You know that some weather must be taken when grandma reacts with the sad emoji.	 snow,  weather	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
25	You know that some files must be taken when grandma reacts with the sad emoji.	You know that some things must be taken when grandma reacts with the sad emoji.	 files,  things	p	p	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
26	You know that some shoes must be taken when grandma reacts with the sad emoji.	You know that some clothes must be taken when grandma reacts with the sad emoji.	 shoes,  clothes	p	p	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
28	You know that some rain must be taken when grandma reacts with the sad emoji.	You know that some weather must be taken when grandma reacts with the sad emoji.	 rain,  weather	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
29	You know that some pasta must be taken when grandma reacts with the sad emoji.	You know that some food must be taken when grandma reacts with the sad emoji.	 pasta,  food	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
30	You know that some apples must be taken when grandma reacts with the sad emoji.	You know that some fruit must be taken when grandma reacts with the sad emoji.	 apples,  fruit	p	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
35	You know that some swing must be taken when grandma reacts with the sad emoji.	You know that some music must be taken when grandma reacts with the sad emoji.	 swing,  music	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
36	You know that some first-year students must be taken when grandma reacts with the sad emoji.	You know that some students must be taken when grandma reacts with the sad emoji.	 first-year students,  students	p	p	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
39	You know that some meat must be taken when grandma reacts with the sad emoji.	You know that some fruit must be taken when grandma reacts with the sad emoji.	 meat,  fruit	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	4
40	You know that some sleet must be taken when grandma reacts with the sad emoji.	You know that some weather must be taken when grandma reacts with the sad emoji.	 sleet,  weather	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
41	You know that some sausages must be taken when grandma reacts with the sad emoji.	You know that some fruit must be taken when grandma reacts with the sad emoji.	 sausages,  fruit	p	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	1	4
42	You know that some meat must be taken when grandma reacts with the sad emoji.	You know that some food must be taken when grandma reacts with the sad emoji.	 meat,  food	m	m	leq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	entailment	1	0
44	You know that some pasta must be taken when grandma reacts with the sad emoji.	You know that some weather must be taken when grandma reacts with the sad emoji.	 pasta,  weather	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	1	4
0	You know that some food must be taken when grandma reacts with the sad emoji.	You know that some fruit must be taken when grandma reacts with the sad emoji.	 food,  fruit	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
1	You know that some seafood must be taken when grandma reacts with the sad emoji.	You know that some oysters must be taken when grandma reacts with the sad emoji.	 seafood,  oysters	m	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
3	You know that some food must be taken when grandma reacts with the sad emoji.	You know that some rap must be taken when grandma reacts with the sad emoji.	 food,  rap	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	4
7	You know that some music must be taken when grandma reacts with the sad emoji.	You know that some rap must be taken when grandma reacts with the sad emoji.	 music,  rap	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
10	You know that some meat must be taken when grandma reacts with the sad emoji.	You know that some pork must be taken when grandma reacts with the sad emoji.	 meat,  pork	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
11	You know that some sugar must be taken when grandma reacts with the sad emoji.	You know that some brown sugar must be taken when grandma reacts with the sad emoji.	 sugar,  brown sugar	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
12	You know that some food must be taken when grandma reacts with the sad emoji.	You know that some mittens must be taken when grandma reacts with the sad emoji.	 food,  mittens	m	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	4
13	You know that some clothes must be taken when grandma reacts with the sad emoji.	You know that some peaches must be taken when grandma reacts with the sad emoji.	 clothes,  peaches	p	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	4
14	You know that some people must be taken when grandma reacts with the sad emoji.	You know that some women must be taken when grandma reacts with the sad emoji.	 people,  women	p	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
15	You know that some food must be taken when grandma reacts with the sad emoji.	You know that some hats must be taken when grandma reacts with the sad emoji.	 food,  hats	m	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	4
17	You know that some pie must be taken when grandma reacts with the sad emoji.	You know that some apple pie must be taken when grandma reacts with the sad emoji.	 pie,  apple pie	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
20	You know that some weather must be taken when grandma reacts with the sad emoji.	You know that some snow must be taken when grandma reacts with the sad emoji.	 weather,  snow	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
25	You know that some things must be taken when grandma reacts with the sad emoji.	You know that some files must be taken when grandma reacts with the sad emoji.	 things,  files	p	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
26	You know that some clothes must be taken when grandma reacts with the sad emoji.	You know that some shoes must be taken when grandma reacts with the sad emoji.	 clothes,  shoes	p	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
28	You know that some weather must be taken when grandma reacts with the sad emoji.	You know that some rain must be taken when grandma reacts with the sad emoji.	 weather,  rain	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
29	You know that some food must be taken when grandma reacts with the sad emoji.	You know that some pasta must be taken when grandma reacts with the sad emoji.	 food,  pasta	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
30	You know that some fruit must be taken when grandma reacts with the sad emoji.	You know that some apples must be taken when grandma reacts with the sad emoji.	 fruit,  apples	m	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
35	You know that some music must be taken when grandma reacts with the sad emoji.	You know that some swing must be taken when grandma reacts with the sad emoji.	 music,  swing	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
36	You know that some students must be taken when grandma reacts with the sad emoji.	You know that some first-year students must be taken when grandma reacts with the sad emoji.	 students,  first-year students	p	p	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
39	You know that some fruit must be taken when grandma reacts with the sad emoji.	You know that some meat must be taken when grandma reacts with the sad emoji.	 fruit,  meat	m	m	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	1	4
40	You know that some weather must be taken when grandma reacts with the sad emoji.	You know that some sleet must be taken when grandma reacts with the sad emoji.	 weather,  sleet	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
41	You know that some fruit must be taken when grandma reacts with the sad emoji.	You know that some sausages must be taken when grandma reacts with the sad emoji.	 fruit,  sausages	m	p	none	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	4
42	You know that some food must be taken when grandma reacts with the sad emoji.	You know that some meat must be taken when grandma reacts with the sad emoji.	 food,  meat	m	m	geq	MED	up	You know that some x must be taken when grandma reacts with the sad emoji.	non-entailment	0	2
